Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,latitude,longitude
169,16/03/20,18:00:00,Odisha,0,0,1,20.5937,78.962
170,16/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
171,16/03/20,18:00:00,Rajasthan,3,0,4,20.5937,78.962
172,16/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
173,16/03/20,18:00:00,Telengana,1,0,3,20.5937,78.962
174,16/03/20,18:00:00,Jammu and Kashmir,0,0,3,20.5937,78.962
175,16/03/20,18:00:00,Ladakh,0,0,4,20.5937,78.962
176,16/03/20,18:00:00,Uttar Pradesh,4,0,13,20.5937,78.962
177,16/03/20,18:00:00,Uttarakhand,0,0,1,20.5937,78.962
178,17/03/20,18:00:00,Andhra Pradesh,0,0,1,20.5937,78.962
179,17/03/20,18:00:00,Delhi,2,1,8,20.5937,78.962
180,17/03/20,18:00:00,Haryana,0,0,15,20.5937,78.962
181,17/03/20,18:00:00,Karnataka,0,1,11,20.5937,78.962
182,17/03/20,18:00:00,Kerala,3,0,26,20.5937,78.962
183,17/03/20,18:00:00,Maharashtra,0,1,39,20.5937,78.962
184,17/03/20,18:00:00,Odisha,0,0,1,20.5937,78.962
185,17/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
186,17/03/20,18:00:00,Rajasthan,3,0,4,20.5937,78.962
187,17/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
188,17/03/20,18:00:00,Telengana,1,0,5,20.5937,78.962
189,17/03/20,18:00:00,Jammu and Kashmir,0,0,3,20.5937,78.962
190,17/03/20,18:00:00,Ladakh,0,0,6,20.5937,78.962
191,17/03/20,18:00:00,Uttar Pradesh,5,0,15,20.5937,78.962
192,17/03/20,18:00:00,Uttarakhand,0,0,1,20.5937,78.962
193,18/03/20,18:00:00,Andhra Pradesh,0,0,1,20.5937,78.962
194,18/03/20,18:00:00,Delhi,2,1,10,20.5937,78.962
195,18/03/20,18:00:00,Haryana,0,0,17,20.5937,78.962
196,18/03/20,18:00:00,Karnataka,0,1,11,20.5937,78.962
197,18/03/20,18:00:00,Kerala,3,0,27,20.5937,78.962
198,18/03/20,18:00:00,Maharashtra,0,1,42,20.5937,78.962
199,18/03/20,18:00:00,Odisha,0,0,1,20.5937,78.962
200,18/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
201,18/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
202,18/03/20,18:00:00,Rajasthan,3,0,4,20.5937,78.962
203,18/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
204,18/03/20,18:00:00,Telengana,1,0,6,20.5937,78.962
205,18/03/20,18:00:00,Jammu and Kashmir,0,0,3,20.5937,78.962
206,18/03/20,18:00:00,Ladakh,0,0,8,20.5937,78.962
207,18/03/20,18:00:00,Uttar Pradesh,5,0,16,20.5937,78.962
208,18/03/20,18:00:00,Uttarakhand,0,0,1,20.5937,78.962
209,18/03/20,18:00:00,West Bengal,0,0,1,20.5937,78.962
210,19/03/20,18:00:00,Andhra Pradesh,0,0,2,20.5937,78.962
211,19/03/20,18:00:00,Chhattisgarh,0,0,1,20.5937,78.962
212,19/03/20,18:00:00,Delhi,3,1,12,20.5937,78.962
213,19/03/20,18:00:00,Haryana,0,0,17,20.5937,78.962
214,19/03/20,18:00:00,Karnataka,0,1,14,20.5937,78.962
215,19/03/20,18:00:00,Kerala,3,0,27,20.5937,78.962
216,19/03/20,18:00:00,Maharashtra,0,1,47,20.5937,78.962
217,19/03/20,18:00:00,Odisha,0,0,1,20.5937,78.962
218,19/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
219,19/03/20,18:00:00,Punjab,0,1,2,20.5937,78.962
220,19/03/20,18:00:00,Rajasthan,3,0,7,20.5937,78.962
221,19/03/20,18:00:00,Tamil Nadu,1,0,2,20.5937,78.962
222,19/03/20,18:00:00,Telengana,1,0,6,20.5937,78.962
223,19/03/20,18:00:00,Chandigarh,0,0,1,20.5937,78.962
224,19/03/20,18:00:00,Jammu and Kashmir,0,0,4,20.5937,78.962
225,19/03/20,18:00:00,Ladakh,0,0,8,20.5937,78.962
226,19/03/20,18:00:00,Uttar Pradesh,9,0,19,20.5937,78.962
227,19/03/20,18:00:00,Uttarakhand,0,0,1,20.5937,78.962
228,19/03/20,18:00:00,West Bengal,0,0,1,20.5937,78.962
229,20/03/20,18:00:00,Andhra Pradesh,0,0,3,20.5937,78.962
230,20/03/20,18:00:00,Chhattisgarh,0,0,1,20.5937,78.962
231,20/03/20,18:00:00,Delhi,5,1,17,20.5937,78.962
232,20/03/20,18:00:00,Gujarat,0,0,5,20.5937,78.962
233,20/03/20,18:00:00,Haryana,0,0,17,20.5937,78.962
234,20/03/20,18:00:00,Karnataka,1,1,15,20.5937,78.962
235,20/03/20,18:00:00,Kerala,3,0,28,20.5937,78.962
236,20/03/20,18:00:00,Maharashtra,0,1,52,20.5937,78.962
237,20/03/20,18:00:00,Odisha,0,0,2,20.5937,78.962
238,20/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
239,20/03/20,18:00:00,Punjab,0,1,2,20.5937,78.962
240,20/03/20,18:00:00,Rajasthan,3,0,17,20.5937,78.962
241,20/03/20,18:00:00,Tamil Nadu,1,0,3,20.5937,78.962
242,20/03/20,18:00:00,Telengana,1,0,17,20.5937,78.962
243,20/03/20,18:00:00,Chandigarh,0,0,1,20.5937,78.962
244,20/03/20,18:00:00,Jammu and Kashmir,0,0,4,20.5937,78.962
245,20/03/20,18:00:00,Ladakh,0,0,10,20.5937,78.962
246,20/03/20,18:00:00,Uttar Pradesh,9,0,23,20.5937,78.962
247,20/03/20,18:00:00,Uttarakhand,0,0,3,20.5937,78.962
248,20/03/20,18:00:00,West Bengal,0,0,2,20.5937,78.962
249,21/03/20,18:00:00,Andhra Pradesh,0,0,3,20.5937,78.962
250,21/03/20,18:00:00,Chhattisgarh,0,0,1,20.5937,78.962
251,21/03/20,18:00:00,Delhi,5,1,26,20.5937,78.962
252,21/03/20,18:00:00,Gujarat,0,0,7,20.5937,78.962
253,21/03/20,18:00:00,Haryana,0,0,17,20.5937,78.962
254,21/03/20,18:00:00,Himachal Pradesh,0,0,2,20.5937,78.962
255,21/03/20,18:00:00,Karnataka,1,1,15,20.5937,78.962
256,21/03/20,18:00:00,Kerala,3,0,40,20.5937,78.962
257,21/03/20,18:00:00,Madhya Pradesh,0,0,4,20.5937,78.962
258,21/03/20,18:00:00,Maharashtra,0,1,63,20.5937,78.962
259,21/03/20,18:00:00,Odisha,0,0,2,20.5937,78.962
260,21/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
261,21/03/20,18:00:00,Punjab,0,1,13,20.5937,78.962
262,21/03/20,18:00:00,Rajasthan,3,0,17,20.5937,78.962
263,21/03/20,18:00:00,Tamil Nadu,1,0,3,20.5937,78.962
264,21/03/20,18:00:00,Telengana,1,0,21,20.5937,78.962
265,21/03/20,18:00:00,Chandigarh,0,0,1,20.5937,78.962
266,21/03/20,18:00:00,Jammu and Kashmir,0,0,4,20.5937,78.962
267,21/03/20,18:00:00,Ladakh,0,0,13,20.5937,78.962
268,21/03/20,18:00:00,Uttar Pradesh,9,0,24,20.5937,78.962
269,21/03/20,18:00:00,Uttarakhand,0,0,3,20.5937,78.962
270,21/03/20,18:00:00,West Bengal,0,0,3,20.5937,78.962
271,22/03/20,18:00:00,Andhra Pradesh,0,0,5,20.5937,78.962
272,22/03/20,18:00:00,Bihar,0,1,2,20.5937,78.962
273,22/03/20,18:00:00,Chhattisgarh,0,0,1,20.5937,78.962
274,22/03/20,18:00:00,Delhi,5,1,29,20.5937,78.962
275,22/03/20,18:00:00,Gujarat,0,1,18,20.5937,78.962
276,22/03/20,18:00:00,Haryana,0,0,21,20.5937,78.962
277,22/03/20,18:00:00,Himachal Pradesh,0,0,2,20.5937,78.962
278,22/03/20,18:00:00,Karnataka,2,1,26,20.5937,78.962
279,22/03/20,18:00:00,Kerala,3,0,52,20.5937,78.962
280,22/03/20,18:00:00,Madhya Pradesh,0,0,4,20.5937,78.962
281,22/03/20,18:00:00,Maharashtra,0,2,67,20.5937,78.962
